종목코드,종목명,현재가,등락률,3개월수익률,시가총액(억),배당수익률,총보수,NAV,거래량,거래대금
233740,KODEX 코스닥150레버리지,6870.0,4.566210045662101,-34.037186313847,34659.15,0.0,0.67,6949.15,49137804.0,3375.88609282
273130,KODEX 종합채권(AA-이상)액티브,109855.0,0.040979874328385395,0.042123812053,34244.0006,1.5729,0.06,109836.89,5542.0,6.0887198
102780,KODEX 삼성그룹,26440.0,0.6279733587059942,-8.92020316489,34001.84,0.524,0.29,26510.64,231870.0,61.46975309
367380,ACE 미국나스닥100,30035.0,-0.7107438016528925,-10.503056183185,33909.515,0.5321,0.1,30001.55,1155409.0,347.90926784
487240,KODEX AI전력핵심설비,37100.0,5.143828822445799,-12.098284354579,32462.5,0.124,0.46,37235.45,3873505.0,1444.81301224
455890,RISE 머니마켓액티브,55507.0,0.0036032789838753264,0.822193129213,29304.36558,1.3783,0.06,55512.7,79933.0,44.3679166
139260,TIGER 200 IT,140955.0,1.7028031314260976,-10.774075686994,27739.944,0.337,0.43,141442.37,228720.0,323.74291447
0193T0,KODEX SK하이닉스단일종목레버리지,11770.0,5.513222770058269,-41.315779537865,27397.6175,0.0,0.3,11817.92,20772794.0,2444.42750932
472150,TIGER 배당커버드콜액티브,20795.0,0.6290829905637552,-5.252314666586,26139.315,21.2105,0.51,20864.08,2230581.0,466.22173331
481050,KODEX CD1년금리플러스액티브(합성),1022372.0,0.008510346918912046,0.782662147245,25133.993248,2.8829,0.06,1022371.49,35486.0,362.79907167
426030,TIME 미국나스닥100액티브,45860.0,1.013215859030837,-16.685228209021,24911.152,0.0663,0.89,45737.14,540959.0,248.39799525
278540,KODEX MSCI Korea TR,39565.0,0.5719369598373157,-6.924150763397,24253.345,0.0,0.12,39679.47,27118.0,10.81886487
161510,PLUS 고배당주,25245.0,-0.33557046979865773,1.617728111458,24144.318,4.0709,0.28,25302.73,328387.0,82.94743344
486290,TIGER 미국나스닥100타겟데일리커버드콜,10175.0,-0.7317073170731707,-10.629276526717,24058.7875,15.9986,0.34,10156.28,1138325.0,115.94564522
449170,TIGER KOFR금리액티브(합성),111820.0,0.008943743851176102,0.67165240141,24039.0636,0.6082,0.04,111816.26,45478.0,50.8521072
292150,TIGER 코리아TOP10,39275.0,1.2242268041237114,-6.368420318293,20972.85,0.8268,0.19,39363.94,506825.0,200.09244052
385540,RISE 종합채권(A-이상)액티브,102905.0,0.024300155520995334,0.204045783182,20966.89375,1.1152,0.03,102916.37,10770.0,11.0810986
456600,TIME 글로벌AI인공지능액티브,57500.0,0.3840782122905028,-13.373684553461,20838.0,0.0468,0.85,57431.02,91496.0,52.77618792
284430,KODEX 200미국채혼합50,20820.0,0.09615384615384616,-9.471894770534,20170.416,1.7192,0.39,20835.43,347467.0,72.55323192
294400,KIWOOM 200TR,146070.0,0.7796329515661653,-7.103036401114,18696.96,0.0,0.04,146616.3,195388.0,286.74445163
214980,KODEX 단기채권PLUS,114670.0,-0.008719916288803628,0.737214006189,17995.1631,2.6466,0.17,114699.92,17316.0,19.85663575
305720,KODEX 2차전지산업,15315.0,5.803108808290156,-10.867742363375,17857.29,0.1242,0.55,15397.66,4652150.0,693.05966044
442580,PLUS 글로벌HBM반도체,103360.0,0.1162340178225494,-5.269803465815,17767.584,0.0973,0.57,103351.11,426566.0,443.65595715
105190,ACE 200,111615.0,0.8857956342929453,-7.237408464909,17467.7475,0.875,0.03,111862.39,107580.0,120.83528224
477080,RISE CD금리액티브(합성),107525.0,0.004650297619047619,0.724890091598,16681.4285,0.0149,0.04,107531.05,8940.0,9.61274272
441640,KODEX 미국배당커버드콜액티브,12272.0,-1.1120064464141821,-6.212577759168,16646.968,9.4721,0.26,12262.37,842316.0,103.55024047
0195S0,TIGER SK하이닉스단일종목레버리지,10005.0,5.761099365750528,-41.189769055286,16473.2325,0.0,0.1,10067.24,12339480.0,1243.11149536
446770,ACE 글로벌반도체TOP4 Plus,77960.0,0.5611093195743309,-9.229395820122,15786.9,0.5521,0.5,77967.4,82942.0,64.79562497
0177N0,KODEX 삼성전자SK하이닉스채권혼합50,14520.0,0.8333333333333334,0.469553947928,15652.56,0.5462,0.09,14557.51,3560980.0,519.05785757
0193W0,KODEX 삼성전자단일종목레버리지,12415.0,-1.0756972111553784,-36.903975802376,15649.1075,0.0,0.3,12498.34,5557319.0,708.08156593
368590,RISE 미국나스닥100,29150.0,-0.7490636704119851,-10.463388155152,15449.5,0.5961,0.1,29110.35,140933.0,41.17120677
329200,TIGER 리츠부동산인프라,4037.0,-0.32098765432098764,9.117258289834,15431.4325,9.7925,0.12,4034.99,2056028.0,83.04963295
152100,PLUS 200,112955.0,0.7627118644067796,-7.148182157064,15361.88,0.8639,0.04,113301.43,495954.0,562.76280374
487230,KODEX 미국AI전력핵심인프라,19970.0,2.41025641025641,-23.471636868763,15157.23,0.3107,0.53,19938.49,640516.0,128.01199909
466920,SOL 조선TOP3플러스,28250.0,2.6526162790697674,-16.987057325671,14958.375,0.188,0.51,28391.13,759358.0,214.76749702
453850,ACE 미국30년국채액티브(H),7155.0,0.13995801259622112,-2.648040098391,14932.485,4.1528,0.12,7161.4,673008.0,48.12892771
226490,KODEX 코스피,72040.0,1.1229646266142617,-6.911403753634,14912.28,0.8657,0.16,72211.47,206646.0,149.61680809
