종목코드,종목명,현재가,NAV,3개월수익률,거래량,거래대금,시가총액(억),등락률
301400,PLUS 코스닥150,13850,13961.0,-20.6032,1719,24,90,-1.67
174350,TIGER 로우볼,21275,21303.0,3.7801,1122,24,89,-0.33
497510,ACE 글로벌빅파마,12760,12805.0,-4.1388,453,5,89,-0.12
0133E0,TIGER 차이나증권,8445,8472.0,-2.596,3071,26,89,-2.14
215620,HK S&P코리아로우볼,16320,16374.0,3.3439,5,0,88,0.59
0084D0,KIWOOM 미국테크100월간목표헤지액티브,11010,11023.0,-15.811,315,3,88,0.27
395150,KODEX 웹툰&드라마,1834,1840.0,-8.6342,53892,100,88,-2.08
0227K0,RISE 미국우주위성통신,8800,8759.0,,49319,432,88,0.74
217780,TIGER 차이나CSI300인버스(합성),5660,5699.0,19.5744,183,1,88,0.71
0184N0,PLUS 은채권혼합,8770,8780.0,-8.8773,10300,90,88,0.52
105010,TIGER 라틴35,6260,6305.0,-9.9816,2142,13,88,-0.4
449680,TIGER 한중전기차(합성),10242,10252.0,-27.2443,320,3,87,-2.04
375270,RISE 글로벌데이터센터리츠(합성),13375,13393.0,-23.7429,132,1,87,0.22
466810,BNK 2차전지양극재,5775,5784.0,-16.7966,43017,253,87,-1.62
0214M0,MIDAS 바이오헬스케어액티브,10165,10150.0,,1587,16,86,-1.26
381570,HANARO Fn친환경에너지,10095,10101.0,-16.3026,4093,41,86,-2.42
0216K0,KIWOOM 미국우주테크TOP2채권혼합50,8525,8539.0,,27918,238,85,0.18
435540,KIWOOM TDF2040액티브 적격,16910,16941.0,-11.1764,1674,28,85,-0.18
270800,RISE KQ고배당,15300,15196.0,-7.3165,125,1,84,-0.78
457930,BNK 미래전략기술액티브,27860,27573.0,-17.1353,14,0,84,-0.5
182490,TIGER 단기선진하이일드(합성 H),13910,13863.0,0.98,108,1,83,0.0
371150,RISE 차이나항셍테크,6395,6380.0,-19.1356,10887,69,83,-0.85
429980,SOL 한국형글로벌전기차&2차전지액티브,16600,16526.0,-26.468,3202,53,83,0.42
0219B0,KoAct 광통신&위성네트워크액티브,10370,10384.0,,30212,317,83,0.39
395750,PLUS ESG가치주액티브,20680,20682.0,-16.4057,2544,52,83,-0.65
497520,ACE 일라이릴리밸류체인,12640,12691.0,-2.4578,1073,13,82,-0.47
0226D0,FOCUS 금융반도체지주채권혼합50액티브,10225,10207.0,,3948,40,82,0.25
395280,HANARO Fn K-게임,3450,3449.0,-10.9863,7630,26,81,-3.23
0219Z0,HANARO 미국S&P500액티브,10115,10196.0,,6341,64,81,0.35
462340,에셋플러스 글로벌다이나믹시니어액티브,16160,16189.0,-2.5518,5218,84,81,-0.43
227550,TIGER 200 산업재,11950,11925.0,-7.9546,177,2,79,-1.65
189400,PLUS 글로벌MSCI(합성 H),26100,26092.0,0.8748,62,1,78,0.6
0172Y0,ACE K수출핵심TOP10산업액티브,9740,9749.0,-11.5125,10719,106,78,-0.61
480460,WON 한국부동산TOP3플러스,9090,9158.0,5.32,3590,32,77,-0.87
487920,ACE 인도시장대표BIG5그룹액티브,7675,7674.0,-12.1437,892,6,77,-0.39
227570,TIGER 우량가치,21300,21379.0,0.2804,1580,33,77,-0.72
285690,FOCUS ESG리더스,21905,21794.0,-10.8829,0,0,77,0.0
438740,MIDAS 중소형액티브,33690,33688.0,-13.1519,29,0,76,-0.84
261110,TIGER 미국달러선물레버리지,15110,15140.0,-23.7529,1451,21,76,0.37
253280,RISE 헬스케어,12580,12587.0,-8.9286,1616,20,75,-1.33
437370,RISE 글로벌농업경제,10750,10751.0,-4.2433,876,9,75,0.42
315270,TIGER 200커뮤니케이션서비스,19780,19811.0,-9.4957,5073,101,75,-1.62
139660,KIWOOM 미국달러선물인버스,8625,8631.0,14.5888,3886,33,75,-0.17
435530,KIWOOM TDF2030액티브 적격,15005,15017.0,-11.0506,3551,53,75,0.03
0215T0,HANARO 미국AI광통신TOP10,8255,8173.0,,24199,202,74,0.43
304670,KODEX 미국30년국채울트라선물인버스(H),12340,12379.0,3.6401,62,0,74,-0.36
494210,SOL 미국500타겟데일리커버드콜액티브,10555,10592.0,-10.223,7028,74,74,-0.75
0005C0,RISE 미국S&P500엔화노출(합성 H),11330,11365.0,-9.0836,643,7,74,1.07
225050,TIGER 유로스탁스레버리지(합성 H),16360,16512.0,8.3693,10036,164,74,0.28
402460,HANARO Fn K-메타버스MZ,14705,14691.0,-14.6131,433,6,74,-2.06
225800,KIWOOM 미국달러선물레버리지,14245,14244.0,-23.9452,2103,29,73,0.67
488480,RISE 일본섹터TOP4Plus,13170,13056.0,-8.3794,11992,158,72,-0.3
0094X0,1Q 샤오미밸류체인액티브,8040,8064.0,-17.8342,7278,59,72,-2.07
326230,RISE 내수주플러스,11265,11266.0,-10.4951,25,0,72,-0.31
0218K0,BNK 스마트카,10240,10273.0,,109,1,72,-3.94
368680,KODEX K-뉴딜디지털플러스,7935,7859.0,-8.296,18,0,71,-1.49
244670,KODEX 밸류Plus,11845,11837.0,1.6196,584,6,71,0.42
